 ,Label,BX,BY,Width,Height,Slice
1,feather:beads5,383,256,9,9,6
2,feather:beads6,394,249,9,7,7
3,feather:beads4,397,256,9,8,5
4,feather:beads2,407,248,9,9,3
5,feather:beads0,384,237,9,9,1
6,feather:beads8,382,211,10,9,9
7,feather:beads7,397,214,9,9,8
8,feather:beads6,358,224,10,9,7
9,feather:beads8,336,200,9,9,9
10,feather:beads7,444,260,9,9,8
11,feather:beads6,378,283,9,9,7
12,feather:beads7,387,301,10,9,8
13,feather:beads6,368,313,9,9,7
14,feather:beads7,398,356,10,10,8
15,feather:beads8,396,372,11,10,9
16,feather:beads12,394,386,11,10,13
17,feather:beads14,380,395,11,10,15
18,feather:beads12,407,396,9,9,13
19,feather:beads18,372,420,9,8,19
20,feather:beads16,380,406,10,8,17
21,feather:beads10,423,390,10,9,11
22,feather:beads8,419,359,10,9,9
23,feather:beads12,363,389,7,6,13
24,feather:beads20,363,389,7,6,21
25,feather:beads18,406,417,9,9,19
26,feather:beads17,433,410,8,9,18
27,feather:beads9,369,357,10,8,10
28,feather:beads7,332,350,9,9,8
29,feather:beads15,317,388,10,9,16
30,feather:beads8,350,400,9,7,9
31,feather:beads15,461,377,9,9,16
32,feather:beads14,358,398,9,8,15
33,feather:beads13,341,348,10,9,14
34,feather:beads14,319,341,10,9,15
35,feather:beads15,298,334,9,9,16
36,feather:beads14,310,337,9,8,15
37,feather:beads13,264,252,10,10,14
38,feather:beads18,278,144,12,11,19
39,feather:beads24,293,94,12,11,25
40,feather:beads23,251,156,11,10,24
41,feather:beads20,359,83,11,9,21
42,feather:beads24,406,80,8,10,25
43,feather:beads20,389,69,11,11,21
44,feather:beads23,398,43,11,11,24
45,feather:beads31,469,47,10,10,32
46,feather:beads59,137,281,10,9,60
47,feather:beads75,143,295,9,9,76
48,feather:beads85,120,272,9,9,86
49,feather:beads132,103,293,11,9,133
50,feather:beads69,150,328,9,8,70
51,feather:beads53,172,357,8,7,54
52,feather:beads60,183,369,9,9,61
53,feather:beads85,112,253,9,9,86
54,feather:beads61,242,435,7,7,62
55,feather:beads63,226,447,9,7,64
56,feather:beads65,255,447,9,7,66
57,feather:beads27,276,450,10,6,28
58,feather:beads26,279,414,9,7,27
59,feather:beads27,288,410,8,7,28
60,feather:beads28,296,420,7,7,29
61,feather:beads23,303,420,9,7,24
62,feather:beads23,316,416,10,6,24
63,feather:beads50,317,473,8,7,51
64,feather:beads71,362,491,10,8,72
65,feather:beads149,294,536,9,6,150
66,feather:beads110,355,538,9,7,111
67,feather:beads63,395,552,9,9,64
68,feather:beads68,406,554,8,9,69
69,feather:beads106,466,574,10,9,107
70,feather:beads11,554,199,12,10,12
71,feather:beads10,533,212,14,12,11
72,feather:beads16,574,304,8,8,17
73,feather:beads8,516,180,12,10,9
74,feather:beads11,512,144,12,10,12
75,feather:beads15,488,138,12,10,16
76,feather:beads53,675,229,12,11,54
77,feather:beads40,666,265,11,10,41
78,feather:beads19,583,132,12,10,20
79,feather:beads37,614,102,10,8,38
