 ,Label,BX,BY,Width,Height,Slice
1,feather:beads5,383,256,9,9,6
2,feather:beads6,394,249,9,7,7
3,feather:beads4,397,256,9,8,5
4,feather:beads2,407,248,9,9,3
5,feather:beads0,384,237,9,9,1
6,feather:beads8,382,211,10,9,9
7,feather:beads7,397,214,9,9,8
8,feather:beads6,358,224,10,9,7
9,feather:beads8,336,200,9,9,9
10,feather:beads7,444,260,9,9,8
11,feather:beads6,378,283,9,9,7
12,feather:beads7,387,301,10,9,8
13,feather:beads6,368,313,9,9,7
14,feather:beads7,398,356,10,10,8
15,feather:beads8,396,372,11,10,9
16,feather:beads12,394,386,11,10,13
17,feather:beads14,380,395,11,10,15
18,feather:beads12,407,396,9,9,13
19,feather:beads18,372,420,9,8,19
20,feather:beads16,380,406,10,8,17
21,feather:beads10,423,390,10,9,11
22,feather:beads8,419,359,10,9,9
23,feather:beads12,363,389,7,6,13
24,feather:beads20,363,389,7,6,21
25,feather:beads18,406,417,9,9,19
26,feather:beads17,433,410,8,9,18
27,feather:beads9,369,357,10,8,10
28,feather:beads7,332,350,9,9,8
29,feather:beads15,317,388,10,9,16
30,feather:beads8,350,400,9,7,9
31,feather:beads15,461,377,9,9,16
32,feather:beads14,358,398,9,8,15
33,feather:beads13,341,348,10,9,14
34,feather:beads14,319,341,10,9,15
35,feather:beads15,298,334,9,9,16
36,feather:beads14,310,337,9,8,15
37,feather:beads13,264,252,10,10,14
38,feather:beads18,278,144,12,11,19
39,feather:beads24,293,94,12,11,25
40,feather:beads23,251,156,11,10,24
41,feather:beads20,359,83,11,9,21
42,feather:beads24,406,80,8,10,25
43,feather:beads20,389,69,11,11,21
44,feather:beads23,398,43,11,11,24
45,feather:beads31,469,47,10,10,32
46,feather:beads59,137,281,10,9,60
47,feather:beads75,143,295,9,9,76
48,feather:beads85,120,272,9,9,86
49,feather:beads132,103,293,11,9,133
50,feather:beads69,150,328,9,8,70
51,feather:beads53,172,357,8,7,54
52,feather:beads60,183,369,9,9,61
53,feather:beads85,112,253,9,9,86
54,feather:beads61,242,435,7,7,62
55,feather:beads63,226,447,9,7,64
56,feather:beads65,255,447,9,7,66
57,feather:beads27,276,450,10,6,28
58,feather:beads26,279,414,9,7,27
59,feather:beads27,288,410,8,7,28
60,feather:beads28,296,420,7,7,29
61,feather:beads23,303,420,9,7,24
62,feather:beads23,316,416,10,6,24
63,feather:beads50,317,473,8,7,51
64,feather:beads71,362,491,10,8,72
65,feather:beads149,294,536,9,6,150
66,feather:beads110,355,538,9,7,111
67,feather:beads63,395,552,9,9,64
68,feather:beads68,406,554,8,9,69
69,feather:beads106,466,574,10,9,107
70,feather:beads11,554,199,12,10,12
71,feather:beads10,533,212,14,12,11
72,feather:beads16,574,304,8,8,17
73,feather:beads8,516,180,12,10,9
74,feather:beads11,512,144,12,10,12
75,feather:beads15,488,138,12,10,16
76,feather:beads53,675,229,12,11,54
77,feather:beads40,666,265,11,10,41
78,feather:beads19,583,132,12,10,20
79,feather:beads37,614,102,10,8,38
80,feather:beads37,457,46,10,12,38
81,feather:beads45,645,191,12,10,46
82,feather:beads101,706,194,11,10,102
83,feather:beads76,690,184,12,10,77
84,feather:beads16,515,341,8,8,17
85,feather:beads19,508,365,10,9,20
86,feather:beads24,507,403,9,8,25
87,feather:beads20,528,391,9,7,21
88,feather:beads19,482,368,7,7,20
89,feather:beads10,485,336,6,6,11
90,feather:beads14,453,374,7,6,15
91,feather:beads13,451,363,8,7,14
92,feather:beads6,408,296,8,8,7
93,feather:beads1,414,264,9,6,2
94,feather:beads0,411,241,8,7,1
95,feather:beads11,510,264,10,9,12
96,feather:beads8,486,266,8,5,9
97,feather:beads10,495,261,6,6,11
98,feather:beads5,467,274,8,7,6
99,feather:beads12,532,292,7,6,13
100,feather:beads13,544,326,5,5,14
101,feather:beads8,308,306,7,8,9
102,feather:beads7,317,317,7,6,8
103,feather:beads7,337,299,6,7,8
104,feather:beads5,354,284,8,7,6
105,feather:beads7,382,319,7,7,8
106,feather:beads7,355,342,8,9,8
107,feather:beads9,277,309,8,8,10
108,feather:beads15,246,292,8,8,16
109,feather:beads45,550,102,11,9,46
110,feather:beads17,492,127,10,8,18
111,feather:beads27,542,110,7,8,28
112,feather:beads41,520,73,8,9,42
113,feather:beads24,560,114,9,10,25
114,feather:beads38,417,19,7,7,39
115,feather:beads52,459,11,7,9,53
116,feather:beads22,361,64,10,10,23
117,feather:beads138,153,89,10,9,139
118,feather:beads160,103,147,11,10,161
119,feather:beads18,574,284,7,8,19
120,feather:beads27,569,298,8,7,28
121,feather:beads19,587,303,6,6,20
122,feather:beads14,572,320,8,7,15
123,feather:beads24,201,261,7,8,25
124,feather:beads23,221,271,6,8,24
125,feather:beads9,247,293,7,7,10
126,feather:beads57,186,303,7,5,58
127,feather:beads60,144,261,7,7,61
128,feather:beads49,148,250,8,7,50
129,feather:beads39,174,233,9,8,40
130,feather:beads32,179,225,8,7,33
131,feather:beads42,188,216,8,8,43
132,feather:beads68,249,34,12,10,69
133,feather:beads88,200,71,9,8,89
134,feather:beads102,140,101,11,11,103
135,feather:beads143,139,145,10,10,144
136,feather:beads58,272,36,10,9,59
137,feather:beads11,332,256,8,6,12
138,feather:beads4,367,230,9,6,5
139,feather:beads5,363,278,8,6,6
140,feather:beads6,404,288,6,5,7
141,feather:beads6,427,285,7,7,7
142,feather:beads5,406,208,8,7,6
143,feather:beads0,414,258,7,5,1
144,feather:beads6,404,273,8,6,7
145,feather:beads0,396,278,6,7,1
146,feather:beads0,438,268,7,6,1
147,feather:beads10,475,265,8,9,11
