 ,Label,BX,BY,Width,Height,Slice
1,ROI,409,239,7,7,46
2,ROI,417,232,5,5,49
3,ROI,416,222,5,5,54
4,ROI,411,256,5,5,47
5,ROI,405,269,6,5,51
6,ROI,408,279,6,6,52
7,ROI,445,293,6,5,51
8,ROI,453,293,5,5,51
9,ROI,447,352,6,7,63
10,ROI,402,366,7,6,49
11,ROI,423,382,5,7,43
12,ROI,475,323,6,6,48
13,ROI,337,342,5,5,48
14,ROI,347,357,5,5,51
15,ROI,367,351,5,5,56
16,ROI,373,354,6,6,31
17,ROI,369,368,6,6,53
18,ROI,426,133,6,5,34
19,ROI,450,131,5,5,46
20,ROI,456,108,7,7,28
21,ROI,426,103,6,6,28
22,ROI,411,107,7,7,41
23,ROI,403,111,7,7,44
24,ROI,441,99,7,5,38
25,ROI,427,69,5,5,27
26,ROI,441,67,5,6,36
27,ROI,420,49,6,5,22
28,ROI,396,55,5,5,25
29,ROI,432,43,6,5,31
30,ROI,447,7,6,5,25
31,ROI,367,538,7,7,43
32,ROI,384,538,5,6,38
33,ROI,206,422,7,9,27
34,ROI,214,444,8,8,17
36,ROI,229,440,6,5,45
37,ROI,247,410,5,5,35
38,ROI,273,397,7,7,40
39,ROI,269,379,7,7,35
40,ROI,256,380,7,7,52
41,ROI,307,406,6,5,49
42,ROI,356,187,7,8,41
43,ROI,354,197,5,6,35
44,ROI,366,173,7,6,37
45,ROI,394,141,7,6,26
46,ROI,329,143,5,6,34
47,ROI,406,204,5,5,52
48,ROI,375,197,6,6,46
49,ROI,378,185,5,5,48
50,ROI,451,192,7,7,62
51,ROI,462,185,5,5,46
52,ROI,411,256,5,5,52
53,ROI,404,133,7,5,34
54,ROI,412,109,5,5,25
55,ROI,316,75,6,6,27
56,ROI,291,51,5,6,27
57,ROI,283,45,7,6,23
58,ROI,292,121,5,6,34
59,ROI,375,31,8,5,22
60,ROI,417,232,5,5,48
61,ROI,415,221,7,7,47
62,ROI,410,240,5,5,50
63,ROI,411,256,5,5,47
64,ROI,427,260,5,5,52
65,ROI,425,253,5,5,50
66,ROI,430,248,5,5,46
67,ROI,405,269,5,5,48
68,ROI,399,215,4,4,46
69,ROI,403,200,5,6,44
70,ROI,406,204,5,6,42
71,ROI,434,205,5,6,39
72,ROI,468,228,5,5,47
73,ROI,436,263,5,5,43
74,ROI,466,245,4,4,46
75,ROI,371,310,5,5,45
76,ROI,362,307,5,5,47
77,ROI,344,319,7,5,42
78,ROI,346,330,5,5,35
79,ROI,359,346,6,5,36
80,ROI,373,354,5,5,29
81,ROI,367,350,5,5,34
82,ROI,348,356,6,5,27
83,ROI,351,374,5,5,28
84,ROI,375,382,6,7,42
85,ROI,403,365,5,6,47
86,ROI,446,359,5,6,33
87,ROI,423,383,5,5,48
88,ROI,407,385,7,5,38
89,ROI,392,390,5,5,36
90,ROI,475,323,6,5,49
91,ROI,422,170,5,5,46
92,ROI,427,163,5,4,36
93,ROI,366,180,5,6,35
94,ROI,378,185,5,5,48
95,ROI,317,186,6,5,29
96,ROI,297,268,4,4,29
97,ROI,422,139,5,5,38
98,ROI,450,132,5,5,33
99,ROI,426,116,6,5,34
100,ROI,412,107,5,6,41
101,ROI,488,100,5,4,35
102,ROI,496,86,5,5,34
103,ROI,470,79,5,5,32
104,ROI,436,74,6,6,22
105,ROI,441,67,5,6,26
106,ROI,490,78,5,5,32
107,ROI,499,77,5,5,40
108,ROI,511,78,6,6,30
109,ROI,540,83,5,5,37
110,ROI,459,58,5,5,24
111,ROI,385,22,7,7,21
112,ROI,413,14,7,7,21
113,ROI,169,74,11,10,17
114,ROI,181,102,10,9,17
115,ROI,211,27,9,9,13
116,ROI,290,49,8,9,28
117,ROI,202,422,9,10,47
118,ROI,225,445,8,7,29
119,ROI,228,439,8,8,46
